,value
shock,0.01
asset_mtm,-0.04167
pnl_earnings_impact,0.00479
oci_impact,-0.00193
liability_offset,0.04453
economic_surplus_impact,0.00287
economic_minus_pnl,-0.00193
pnl_dollar_duration,3.97426
oci_dollar_duration,0.19257
liability_dollar_duration,4.45347
