date,total,carry,mtm,pnl,oci
2000,0.15438,0.04868,0.09591,0.11619,0.0284
2001,0.15513,0.04868,0.0967,0.1289,0.01648
2002,0.12484,0.04868,0.06992,0.1145,0.00409
2003,0.10107,0.04868,0.04819,0.08406,0.01281
2004,0.09799,0.04868,0.04581,0.07545,0.01903
2005,0.16432,0.04868,0.10486,0.13385,0.01969
2006,0.05934,0.04868,0.00946,0.0615,-0.00336
2007,0.10239,0.04868,0.04942,0.08176,0.01634
2008,0.05984,0.04868,0.01002,0.07833,-0.01963
2009,0.08202,0.04868,0.0309,0.09232,-0.01274
2010,0.10583,0.04868,0.05303,0.10608,-0.00438
2011,0.09311,0.04868,0.04083,0.0735,0.01601
2012,0.09222,0.04868,0.04036,0.08583,0.00321
2013,0.0983,0.04868,0.0461,0.09783,-0.00306
2014,0.09891,0.04868,0.04635,0.09241,0.00261
2015,0.05446,0.04868,0.0047,0.05184,0.00153
2016,0.07588,0.04868,0.02518,0.0493,0.02455
2017,0.08517,0.04868,0.03384,0.08115,0.00137
2018,0.13108,0.04868,0.07543,0.11443,0.00967
2019,0.08446,0.04868,0.03315,0.08593,-0.0041
2020,0.17032,0.04868,0.11039,0.14633,0.01273
2021,0.08038,0.04868,0.02913,0.07066,0.00714
2022,-0.16357,0.04868,-0.22569,-0.15685,-0.02016
2023,-0.00432,0.04868,-0.05267,0.00607,-0.01007
2024,0.02861,0.04868,-0.02019,0.00976,0.01873
