target_return,exp_return,volatility
0.04721,0.04721,0.01567
0.04778,0.04778,0.01574
0.04836,0.04836,0.01586
0.04894,0.04894,0.01603
0.04952,0.04952,0.01626
0.05009,0.05009,0.01655
0.05067,0.05067,0.01689
0.05125,0.05125,0.01728
0.05182,0.05182,0.01772
0.0524,0.0524,0.0182
0.05298,0.05298,0.01872
0.05356,0.05356,0.01927
0.05413,0.05413,0.01985
0.05471,0.05471,0.0205
0.05529,0.05529,0.02131
0.05587,0.05587,0.02233
0.05644,0.05644,0.02348
0.05702,0.05702,0.02471
0.0576,0.0576,0.02599
0.05818,0.05818,0.02734
0.05875,0.05875,0.02876
0.05933,0.05933,0.03021
0.05991,0.05991,0.03171
0.06049,0.06049,0.03328
0.06106,0.06106,0.0349
0.06164,0.06164,0.03662
0.06222,0.06222,0.03865
0.0628,0.0628,0.04145
0.06337,0.06337,0.04637
0.06395,0.06395,0.05267
