scenario,Baseline,Equal-Weight,Max-Sharpe,Min-Variance,Risk-Parity,Max-Diversification,Max-RoC,Capital-Budgeted,Risk 20%,Min-EarningsVol,Pareto-Balanced
Rates +100bp,-0.04167,-0.03129,-0.01889,-0.02066,-0.02635,-0.0202,-0.03893,-0.02885,-0.04043,-0.01721,-0.02459
Rates -100bp,0.04167,0.03129,0.01889,0.02066,0.02635,0.0202,0.03893,0.02885,0.04043,0.01721,0.02459
Credit +100bp,-0.01842,-0.01905,-0.01561,-0.01473,-0.0138,-0.01205,-0.00453,-0.02958,-0.0186,-0.01572,-0.01991
Credit +150bp,-0.02762,-0.02857,-0.02341,-0.02209,-0.0207,-0.01808,-0.00679,-0.04437,-0.0279,-0.02359,-0.02986
Credit +200bp,-0.03683,-0.0381,-0.03122,-0.02945,-0.02761,-0.02411,-0.00905,-0.05916,-0.0372,-0.03145,-0.03982
Equity -20%,-0.02239,-0.03514,-0.01115,-0.00631,-0.01604,-0.01217,-0.00181,-0.02363,-0.02568,-0.02237,-0.01193
Equity -30%,-0.03358,-0.05271,-0.01673,-0.00947,-0.02406,-0.01825,-0.00272,-0.03545,-0.03852,-0.03356,-0.01789
Property -15%,-0.00498,-0.0125,-0.00072,-0.00028,-0.006,-0.00277,0.0,-0.00061,-0.00586,-0.00569,-0.00071
High Yield widening,-0.01054,-0.02214,-0.0086,-0.0,-0.01146,-0.00616,0.0,-0.02613,-0.0122,-0.00693,-0.01035
Structured +200bp,-0.0195,-0.02714,-0.03329,-0.03682,-0.024,-0.0293,-0.01131,-0.05255,-0.01955,-0.03346,-0.04137
Combined recession,-0.06438,-0.11708,-0.06094,-0.04747,-0.06247,-0.05448,0.01019,-0.12107,-0.07343,-0.08794,-0.07194
Inflation / rates up,-0.11257,-0.103,-0.06167,-0.06298,-0.07734,-0.06226,-0.08443,-0.10134,-0.11216,-0.0657,-0.07816
